,winner,reward,num_actions,last_states
41,Leotris,72,297,"tensor([[ 0.4375, -0.0105,  0.2000,  0.3000,  0.4000,  0.4000,  0.0000,  1.0000,
          0.1980]])"
42,Leotris,75,516,"tensor([[ 0.6406, -0.0105,  0.2000,  0.3000,  0.1000,  0.5000,  0.0000,  1.0000,
          0.3440]])"
43,Leotris,74,185,"tensor([[ 0.5625, -0.0105,  0.2000,  0.3000,  0.4000,  0.2000,  0.0000,  1.0000,
          0.1233]])"
44,Leotris,69,235,"tensor([[ 0.4531, -0.0105,  0.3000,  0.3000,  0.1000,  0.2000,  0.0000,  1.0000,
          0.1567]])"
45,Leotris,76,161,"tensor([[ 0.6719, -0.0105,  0.3000,  0.3000,  0.5000,  0.3000,  0.0000,  1.0000,
          0.1073]])"
46,Leotris,76,399,"tensor([[ 0.6875, -0.0105,  0.3000,  0.3000,  0.3000,  0.1000,  0.0000,  1.0000,
          0.2660]])"
47,Leotris,72,272,"tensor([[ 0.5781, -0.0105,  0.3000,  0.3000,  0.4000,  0.1000,  0.0000,  1.0000,
          0.1813]])"
48,Leotris,74,207,"tensor([[ 0.4688, -0.0105,  0.3000,  0.2000,  0.1000,  0.2000,  0.0000,  1.0000,
          0.1380]])"
49,Leotris,73,109,"tensor([[ 0.6875, -0.0105,  0.3000,  0.2000,  0.2000,  0.4000,  0.0000,  1.0000,
          0.0727]])"
50,Leotris,76,244,"tensor([[ 0.7812, -0.0105,  0.3000,  0.1000,  0.5000,  0.1000,  0.0000,  1.0000,
          0.1627]])"
51,Leotris,72,386,"tensor([[ 0.4844, -0.0105,  0.3000,  0.1000,  0.1000,  0.2000,  0.0000,  1.0000,
          0.2573]])"
52,Leotris,72,427,"tensor([[ 0.6094, -0.0105,  0.3000,  0.1000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.2847]])"
53,Leotris,72,523,"tensor([[ 0.5781, -0.0105,  0.3000,  0.1000,  0.3000,  0.3000,  0.0000,  1.0000,
          0.3487]])"
54,Leotris,71,580,"tensor([[ 0.4219, -0.0105,  0.2000,  0.1000,  0.4000,  0.2000,  0.0000,  1.0000,
          0.3867]])"
55,Leotris,70,831,"tensor([[ 0.1875, -0.0211,  0.1000,  0.1000,  0.1000,  0.3000,  0.0000,  1.0000,
          0.5540]])"
56,Leotris,71,629,"tensor([[ 0.3125, -0.0105,  0.3000,  0.1000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.4193]])"
57,Leotris,68,197,"tensor([[ 0.4688, -0.0105,  0.3000,  0.1000,  0.1000,  0.1000,  0.0000,  1.0000,
          0.1313]])"
58,Leotris,70,334,"tensor([[ 0.4219, -0.0105,  0.3000,  0.1000,  0.5000,  0.1000,  0.0000,  1.0000,
          0.2227]])"
59,Leotris,72,556,"tensor([[ 0.6719, -0.0105,  0.3000,  0.1000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.3707]])"
60,Leotris,74,663,"tensor([[ 0.4375, -0.0105,  0.2000,  0.1000,  0.4000,  0.1000,  0.0000,  1.0000,
          0.4420]])"
61,Leotris,69,807,"tensor([[ 0.2969, -0.0105,  0.2000,  0.2000,  0.4000,  0.2000,  0.0000,  1.0000,
          0.5380]])"
62,Leotris,74,486,"tensor([[ 0.5156, -0.0105,  0.2000,  0.2000,  0.1000,  0.4000,  0.0000,  1.0000,
          0.3240]])"
63,Strahd,-48,340,"tensor([[0.0000, 0.4316, 0.1000, 0.1000, 0.2000, 0.1000, 0.0000, 1.0000, 0.2267]])"
64,Leotris,68,350,"tensor([[ 0.1406, -0.0105,  0.1000,  0.2000,  0.1000,  0.4000,  0.0000,  1.0000,
          0.2333]])"
65,Leotris,75,884,"tensor([[ 0.7188, -0.0105,  0.2000,  0.1000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.5893]])"
66,Leotris,70,535,"tensor([[ 0.4062, -0.0105,  0.3000,  0.1000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.3567]])"
67,Leotris,71,189,"tensor([[ 0.5469, -0.0105,  0.3000,  0.1000,  0.5000,  0.2000,  0.0000,  1.0000,
          0.1260]])"
68,Leotris,67,172,"tensor([[ 0.5625, -0.0105,  0.3000,  0.2000,  0.5000,  0.1000,  0.0000,  1.0000,
          0.1147]])"
69,Leotris,74,222,"tensor([[ 0.5469, -0.0105,  0.3000,  0.2000,  0.1000,  0.3000,  0.0000,  1.0000,
          0.1480]])"
70,Leotris,77,342,"tensor([[ 0.7656, -0.0105,  0.3000,  0.2000,  0.1000,  0.3000,  0.0000,  1.0000,
          0.2280]])"
71,Leotris,72,426,"tensor([[ 0.2656, -0.0105,  0.1000,  0.1000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.2840]])"
72,Leotris,68,691,"tensor([[ 0.1719, -0.0105,  0.2000,  0.1000,  0.2000,  0.3000,  0.0000,  1.0000,
          0.4607]])"
73,Leotris,70,340,"tensor([[ 0.4531, -0.0105,  0.2000,  0.1000,  0.4000,  0.2000,  0.0000,  1.0000,
          0.2267]])"
74,Leotris,70,926,"tensor([[ 0.4375, -0.0105,  0.2000,  0.1000,  0.4000,  0.2000,  0.0000,  1.0000,
          0.6173]])"
